,County_of_Origin,Period,GenderDescription,AgeClassDescription,Average_BusUsers_per_Day,Avg_BusUsers_Daily_to_Lisboa,Avg_BusUsers_Daily_to_Loures,Avg_BusUsers_Daily_to_Oeiras,Avg_BusUsers_Daily_to_Almada,Avg_BusUsers_Daily_to_Amadora,Avg_BusUsers_Daily_to_Odivelas,Avg_BusUsers_Daily_to_Porto,Avg_BusUsers_Daily_to_Matosinhos,Avg_BusUsers_Daily_to_Vila nova de gaia,Avg_BusUsers_Daily_to_Gondomar,Avg_BusUsers_Daily_to_Maia,Avg_BusUsers_Daily_to_Valongo,Avg_BusUsers_Daily_to_Paredes,Avg_BusUsers_Daily_to_Santo tirso
0,Alcochete,Sep-19 to Feb-20,Female,25-34,47.734735,47.24793617246999,0.386890027175,0.057711294615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Alcochete,Sep-19 to Feb-20,Female,45-54,42.712664000000004,42.277080252527995,0.34618614172,0.051639610776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Alcochete,Sep-19 to Feb-20,Male,35-44,148.504551,146.99010158890198,1.2036293858549998,0.17954200215899999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Alcochete,Sep-20 to Jan-21,Female,55-64,34.201745,33.85295560449,0.277205143225,0.041349909705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Alcochete,Sep-20 to Jan-21,Male,35-44,157.793211,156.184035834222,1.278913975155,0.190771992099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Alcochete,Sep-20 to Jan-21,Male,55-64,37.446537,37.064657215673996,0.303504182385,0.045272863233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Almada,Sep-19 to Feb-20,Female,15-24,76.98526,76.23296003928,0.08606952068000003,0.0,0.5346626307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Almada,Sep-19 to Feb-20,Female,25-34,529.797711,524.6205277681081,0.5923138408980002,0.0,3.6794451028950004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Almada,Sep-19 to Feb-20,Female,35-44,1113.117185,1102.2398038681802,1.2444650128300003,0.0,7.730598849825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Almada,Sep-19 to Feb-20,Female,45-54,701.945176,695.0857677401281,0.7847747067680001,0.0,4.8750092473199995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Almada,Sep-19 to Feb-20,Female,55-64,1539.05817,1524.01849356276,1.7206670340600005,0.0,10.68875899065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Almada,Sep-19 to Feb-20,Male,15-24,1140.502352,1129.3573630162562,1.2750816295360003,0.0,7.92078883464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Almada,Sep-19 to Feb-20,Male,25-34,17.528597,17.357307550116005,0.019596971446000006,0.0,0.12173610616500001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Almada,Sep-19 to Feb-20,Male,35-44,567.133667,561.591636806076,0.6340554397060001,0.0,3.9387433173149997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Almada,Sep-19 to Feb-20,Male,45-54,734.437908,727.2609807630241,0.8211015811440002,0.0,5.1006712710599995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Almada,Sep-19 to Feb-20,Male,55-64,1153.217952,1141.948706173056,1.2892976703360004,0.0,8.009098676639999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Almada,Sep-19 to Feb-20,Male,65+,754.4786389999999,747.105873739692,0.8435071184020001,0.0,5.239854147855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Almada,Sep-20 to Jan-21,Female,15-24,184.17150900000001,182.37178501405202,0.20590374706200007,0.0,1.2790711300050002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Almada,Sep-20 to Jan-21,Female,25-34,405.646595,401.68261647366006,0.4535128932100001,0.0,2.8172156022749997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Almada,Sep-20 to Jan-21,Female,35-44,479.57425599999993,474.887856370368,0.5361640182080001,0.0,3.3306432079199992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Almada,Sep-20 to Jan-21,Female,45-54,321.825519,318.680640028332,0.35980093024200005,0.0,2.235078229455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Almada,Sep-20 to Jan-21,Female,55-64,675.965262,669.3597294597362,0.7557291629160002,0.0,4.69457874459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Almada,Sep-20 to Jan-21,Male,15-24,381.95058,378.21815893224004,0.4270207484400001,0.0,2.6526467781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Almada,Sep-20 to Jan-21,Male,25-34,497.58813899999996,492.725707705692,0.5563035394020001,0.0,3.4557496253549997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Almada,Sep-20 to Jan-21,Male,35-44,768.014057,760.5090236349961,0.8586397157260002,0.0,5.333857625865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Almada,Sep-20 to Jan-21,Male,45-54,589.356141,583.5969527901481,0.6589001656380001,0.0,4.093078399245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Almada,Sep-20 to Jan-21,Male,55-64,1059.492103,1049.1387461694842,1.1845121711540003,0.0,7.358172655335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Almada,Sep-20 to Jan-21,Male,65+,1903.3433420000001,1884.7438708619763,2.1279378563560005,0.0,13.21871951019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Amadora,Sep-19 to Feb-20,Female,15-24,294.194206,268.81877895567607,0.527196017152,6.937393571686001,0.0,17.383935632540002,0.302431643768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Amadora,Sep-19 to Feb-20,Female,25-34,1081.652817,988.3559349224821,1.938321848064,25.506455077677,0.0,63.914864956529996,1.111939095876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Amadora,Sep-19 to Feb-20,Female,35-44,235.83665299999998,215.49479833213803,0.42261928217600003,5.5612641143929995,0.0,13.93558782577,0.242440079284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Amadora,Sep-19 to Feb-20,Female,45-54,840.951323,768.4159075859582,1.5069847708160002,19.830473147663,0.0,49.691813676070005,0.864497960044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Amadora,Sep-19 to Feb-20,Female,55-64,1216.148092,1111.250454472632,2.179337380864,28.677988157452,0.0,71.86219075628,1.250200238576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Amadora,Sep-19 to Feb-20,Male,15-24,1148.427051,1049.3706241430461,2.057981275392,27.081058289631,0.0,67.86055444359,1.180583008428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Amadora,Sep-19 to Feb-20,Male,25-34,421.94018,385.5461517142801,0.75611680256,9.94977138458,0.0,24.932445236200003,0.43375450504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Amadora,Sep-19 to Feb-20,Male,35-44,137.697607,125.82063760582203,0.24675411174400003,3.247047270667,0.0,8.136551597630001,0.141553139996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Amadora,Sep-19 to Feb-20,Male,45-54,617.693161,564.4146550911062,1.106906144512,14.565822429541,0.0,36.49948888349,0.6349885695080001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Amadora,Sep-19 to Feb-20,Male,55-64,867.4819130000001,792.6581280760983,1.5545275880960003,20.456090990453003,0.0,51.25950623917001,0.8917714065640001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Amadora,Sep-19 to Feb-20,Male,65+,1612.851365,1473.7364833632903,2.8902296460800003,38.032648038065,0.0,95.30338715785001,1.65801120322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
