County_of_Origin,Period,GenderDescription,AgeClassDescription,Avg_BusUsers_Daily_County_of_Transportation,County_of_Transportation,County_of_Origin_Purchasing_Power_Per_Capita,County_of_Transportation_Purchasing_Power_Per_Capita,percent_dif_OD_PPPC
alcochete,Sep-19 to Feb-20,Female,25-34,47.24793617,lisboa,118.8,219.6,0.8484848484848485
alcochete,Sep-19 to Feb-20,Female,45-54,42.27708025,lisboa,118.8,219.6,0.8484848484848485
alcochete,Sep-19 to Feb-20,Male,35-44,146.99010159999997,lisboa,118.8,219.6,0.8484848484848485
alcochete,Sep-20 to Jan-21,Female,55-64,33.8529556,lisboa,118.8,219.6,0.8484848484848485
alcochete,Sep-20 to Jan-21,Male,35-44,156.1840358,lisboa,118.8,219.6,0.8484848484848485
alcochete,Sep-20 to Jan-21,Male,55-64,37.06465722,lisboa,118.8,219.6,0.8484848484848485
almada,Sep-19 to Feb-20,Female,15-24,76.23296004,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Female,25-34,524.6205278,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Female,35-44,1102.2398039999998,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Female,45-54,695.0857677,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Female,55-64,1524.018494,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Male,15-24,1129.357363,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Male,25-34,17.35730755,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Male,35-44,561.5916368,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Male,45-54,727.2609808,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Male,55-64,1141.9487060000001,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-19 to Feb-20,Male,65+,747.1058737000001,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Female,15-24,182.37178500000002,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Female,25-34,401.6826165,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Female,35-44,474.8878563999999,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Female,45-54,318.68064,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Female,55-64,669.3597295,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Male,15-24,378.2181589,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Male,25-34,492.72570769999993,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Male,35-44,760.5090236000001,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Male,45-54,583.5969527999999,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Male,55-64,1049.138746,lisboa,108.7,219.6,1.0202391904323826
almada,Sep-20 to Jan-21,Male,65+,1884.7438710000001,lisboa,108.7,219.6,1.0202391904323826
amadora,Sep-19 to Feb-20,Female,15-24,268.818779,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Female,25-34,988.3559349,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Female,35-44,215.4947983,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Female,45-54,768.4159076000001,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Female,55-64,1111.250454,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Male,15-24,1049.3706240000001,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Male,25-34,385.5461517,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Male,35-44,125.8206376,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Male,45-54,564.4146551,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Male,55-64,792.6581281,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-19 to Feb-20,Male,65+,1473.736483,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Female,15-24,489.77258370000004,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Female,25-34,372.8708088,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Female,35-44,437.07869580000005,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Female,45-54,521.9251481000001,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Female,55-64,677.1519111,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Female,65+,66.19521511,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Male,15-24,591.2423866,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Male,25-34,240.46768849999998,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Male,35-44,661.1517471,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Male,45-54,725.6132772000001,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Male,55-64,601.5127208,lisboa,100.6,219.6,1.1829025844930419
amadora,Sep-20 to Jan-21,Male,65+,998.352922,lisboa,100.6,219.6,1.1829025844930419
barreiro,Sep-19 to Feb-20,Female,25-34,152.1480448,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Female,35-44,213.4113798,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Female,45-54,141.06723590000001,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Female,55-64,585.0283092999999,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Female,65+,6774.681367,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Male,25-34,247.4829173,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Male,35-44,266.2716078,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Male,45-54,157.07755459999998,lisboa,100.0,219.6,1.196
barreiro,Sep-19 to Feb-20,Male,55-64,136.6334444,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Female,25-34,57.58395889,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Female,35-44,178.6430159,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Female,45-54,61.08532704,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Female,55-64,25.09689032,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Female,65+,4362.169091,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Male,15-24,475.6048085,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Male,35-44,76.07417489,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Male,45-54,30.87863783,lisboa,100.0,219.6,1.196
barreiro,Sep-20 to Jan-21,Male,55-64,367.95756689999996,lisboa,100.0,219.6,1.196
cascais,Sep-19 to Feb-20,Female,15-24,719.809292,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Female,25-34,887.6129620999999,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Female,35-44,788.4072953,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Female,45-54,936.8602773,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Female,55-64,730.4595945,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Female,65+,1948.1293329999999,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Male,15-24,4392.071232,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Male,25-34,288.0596868,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Male,35-44,424.2311877,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Male,45-54,667.1093806,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-19 to Feb-20,Male,55-64,794.2780623,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Female,15-24,340.8680352,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Female,25-34,479.32556780000004,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Female,35-44,435.7980004,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Female,45-54,647.4124744,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Female,55-64,333.87249039999995,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Female,65+,1263.945591,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Male,15-24,1210.4113869999999,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Male,25-34,431.5112348999999,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Male,35-44,243.33619790000003,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Male,45-54,553.0714701,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Male,55-64,470.9236476,lisboa,122.1,219.6,0.7985257985257985
cascais,Sep-20 to Jan-21,Male,65+,53.06936700000001,lisboa,122.1,219.6,0.7985257985257985
espinho,Sep-19 to Feb-20,Female,25-34,6.595884759,lisboa,103.0,219.6,1.1320388349514563
espinho,Sep-19 to Feb-20,Female,35-44,2.620979364,lisboa,103.0,219.6,1.1320388349514563
espinho,Sep-19 to Feb-20,Male,25-34,7.574579633,lisboa,103.0,219.6,1.1320388349514563
espinho,Sep-20 to Jan-21,Female,25-34,2.435849578,lisboa,103.0,219.6,1.1320388349514563
espinho,Sep-20 to Jan-21,Female,35-44,1.764179076,lisboa,103.0,219.6,1.1320388349514563
espinho,Sep-20 to Jan-21,Female,55-64,1.059680844,lisboa,103.0,219.6,1.1320388349514563
espinho,Sep-20 to Jan-21,Male,25-34,4.61989048,lisboa,103.0,219.6,1.1320388349514563
gondomar,Sep-19 to Feb-20,Female,15-24,2.0932257830000003,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Female,25-34,1.256703288,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Female,35-44,3.099221827,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Female,45-54,3.046151586,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Female,65+,244.58823629999998,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Male,15-24,0.1801787,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Male,25-34,3.226724796,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Male,35-44,1.251253887,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Male,45-54,5.667560322000001,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Male,55-64,13.02565016,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-19 to Feb-20,Male,65+,29.06236431,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Female,15-24,2.320290314,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Female,25-34,0.805730803,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Female,35-44,1.565976254,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Female,45-54,2.41897636,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Female,55-64,0.080774214,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Female,65+,125.82427050000001,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Male,15-24,0.463174194,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Male,25-34,2.220535929,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Male,35-44,0.599433407,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Male,45-54,2.1694626219999997,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Male,55-64,8.256741603,lisboa,84.1,219.6,1.6111771700356718
gondomar,Sep-20 to Jan-21,Male,65+,12.81708769,lisboa,84.1,219.6,1.6111771700356718
lisboa,Sep-19 to Feb-20,Female,15-24,2599.2013920000004,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Female,25-34,1491.80199,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Female,35-44,1012.178366,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Female,45-54,1206.821443,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Female,55-64,2386.1610149999997,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Female,65+,4911.429497,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Male,15-24,3034.6530850000004,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Male,25-34,2893.627675,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Male,35-44,1278.206036,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Male,45-54,1032.4341880000002,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Male,55-64,1699.7202129999998,lisboa,219.6,219.6,0.0
lisboa,Sep-19 to Feb-20,Male,65+,4080.1409329999997,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Female,15-24,663.4902921,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Female,25-34,729.3218847,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Female,35-44,503.47635030000004,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Female,45-54,776.5057079,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Female,55-64,1179.659261,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Female,65+,5179.3264770000005,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Male,15-24,1565.571443,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Male,25-34,882.3839642,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Male,35-44,1063.742923,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Male,45-54,879.2928166000002,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Male,55-64,1010.5433939999999,lisboa,219.6,219.6,0.0
lisboa,Sep-20 to Jan-21,Male,65+,3162.061248,lisboa,219.6,219.6,0.0
loures,Sep-19 to Feb-20,Female,15-24,2387.6729379999997,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Female,25-34,817.383289,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Female,35-44,771.8446165,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Female,45-54,275.86674489999996,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Female,55-64,249.35342090000003,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Female,65+,139.1817398,lisboa,92.3,219.6,1.3791982665222102
loures,Sep-19 to Feb-20,Male,15-24,109.2630156,lisboa,92.3,219.6,1.3791982665222102
